Trial Number,Condition,Ordering,Menu Type,Menu Breadth,Menu Depth,Target Item
1,1,2,Marking,4,1,Food
2,1,2,Marking,4,1,Animals
3,1,2,Marking,4,1,Education
1,2,2,Marking,4,2,Fruits
2,2,2,Marking,4,2,Math
3,2,2,Marking,4,2,Grains
1,3,2,Marking,4,3,Jeans
2,3,2,Marking,4,3,Shirts
3,3,2,Marking,4,3,Eagle
1,4,2,Marking,6,1,Sports
2,4,2,Marking,6,1,Animals
3,4,2,Marking,6,1,Food
1,5,2,Marking,6,2,China
2,5,2,Marking,6,2,Fish
3,5,2,Marking,6,2,India
1,6,2,Marking,6,3,Cap
2,6,2,Marking,6,3,Sneakers
3,6,2,Marking,6,3,Ape
1,7,2,Radial,4,1,Food
2,7,2,Radial,4,1,Animals
3,7,2,Radial,4,1,Education
1,8,2,Radial,4,2,Fruits
2,8,2,Radial,4,2,Math
3,8,2,Radial,4,2,Grains
1,9,2,Radial,4,3,Jeans
2,9,2,Radial,4,3,Shirts
3,9,2,Radial,4,3,Eagle
1,10,2,Radial,6,1,Sports
2,10,2,Radial,6,1,Animals
3,10,2,Radial,6,1,Food
1,11,2,Radial,6,2,China
2,11,2,Radial,6,2,Fish
3,11,2,Radial,6,2,India
1,12,2,Radial,6,3,Cap
2,12,2,Radial,6,3,Sneakers
3,12,2,Radial,6,3,Ape
