Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Education
4,0,Clothing
5,0,Locations
6,0,Sports
7,1,Birds
8,1,Reptiles
9,1,Fish
10,1,Amphibian
11,1,Arthropod
12,1,Mammals
13,2,Grains
14,2,Fruits
15,2,Vegetable
16,2,Dairy
17,2,Protein
18,2,Oils
19,3,Chemistry
20,3,Physics
21,3,Math
22,3,Economics
23,3,Biology
24,3,Geography
25,4,Tops
26,4,Bottoms
27,4,Outerwear
28,4,Shoes
29,4,Innerwear
30,4,Hats
31,5,USA
32,5,Russia
33,5,China
34,5,India
35,5,Spain
36,5,Brazil
37,6,Games
38,6,Athletics
39,6,Gymnastic
40,6,Water
41,6,Dance
42,6,Fighting
